rep,R,generation,r_rate
16,0.1,112500,1.6460917005178187e-07
16,0.1,80000,1.626014632324489e-06
28,10.0,110000,2.4107089768941925e-05
17,10.0,92500,1.899825465044726e-05
17,1.0,90000,1.374573346197834e-06
15,10.0,90000,1.8626324748532408e-05
18,1.0,115000,1.6759744752623231e-06
22,0.1,107500,1.1961708031246077e-07
13,1.0,105000,1.9073567611315856e-06
20,10.0,112500,1.949459623747352e-05
19,10.0,97500,1.9713267825327924e-05
30,0.1,122500,9.233608736521707e-08
20,1.0,110000,1.7543853127442558e-06
22,0.1,135000,1.824820306356987e-07
13,10.0,140000,1.5089954503805963e-05
19,10.0,107500,2.051283812010189e-05
17,1.0,107500,1.6025559660351824e-06
18,0.1,130000,1.7528430481932921e-07
23,1.0,137500,1.8675582432460541e-06
1,10.0,102500,1.984124245966909e-05
15,1.0,122500,1.161291659103858e-06
6,1.0,137500,1.4792901562476833e-06
10,0.1,110000,1.4044889757403805e-07
10,10.0,112500,1.8055555980535217e-05
22,1.0,95000,1.7241455647648886e-06
29,0.1,87500,1.2690360095569858e-07
25,0.1,110000,8.15314757009902e-21
26,1.0,127500,1.2905884094808875e-06
4,0.1,102500,1.126125983700794e-07
30,10.0,117500,2.024388092512097e-05
14,0.1,130000,1.406470964759041e-07
3,0.1,107500,2.0533894053742875e-07
27,1.0,130000,1.93452047229354e-06
23,0.1,117500,2.0833281516011086e-07
11,0.1,112500,1.1235952986204949e-07
22,1.0,107500,2.1796893158282817e-06
27,10.0,115000,2.100596394625426e-05
1,1.0,92500,9.478656718790087e-07
21,1.0,102500,1.5169221295215014e-06
8,1.0,127500,1.517240785549447e-06
1,1.0,115000,1.6949135144289974e-06
28,10.0,137500,1.7741958537803223e-05
7,10.0,85000,2.2033930410445954e-05
24,10.0,112500,2.0588218336018915e-05
10,1.0,80000,2.105262707629676e-06
16,10.0,117500,2.0000036985453e-05
17,0.1,132500,1.6000038210118286e-07
26,1.0,132500,1.1869416850108985e-06
27,10.0,107500,2.233009903149835e-05
29,0.1,95000,8.818331209419189e-08
10,1.0,95000,1.9403071024848925e-06
17,1.0,137500,1.1450365464067457e-06
12,1.0,112500,2.065400566599536e-06
9,1.0,125000,1.5132407796115927e-06
8,0.1,127500,8.221792928818536e-21
23,1.0,115000,1.7741966644529115e-06
29,0.1,107500,2.4813854156981706e-07
8,1.0,95000,1.799099184597277e-06
23,0.1,85000,1.98019457389568e-07
12,10.0,122500,2.0599262556955202e-05
14,1.0,97500,1.5873094546462891e-06
26,0.1,102500,2.1186440123422602e-07
16,10.0,137500,2.0143795420046737e-05
17,10.0,90000,1.4285713350922193e-05
2,1.0,112500,1.735019594374962e-06
24,0.1,97500,8.014593825549547e-21
18,1.0,82500,1.2500018492599323e-06
1,10.0,140000,2.608697607936128e-05
24,0.1,80000,1.6574547756058564e-06
7,10.0,115000,2.222219849971422e-05
23,0.1,122500,1.270648463663148e-07
10,1.0,110000,1.877929652124223e-06
28,10.0,122500,2.2314039409322604e-05
28,1.0,137500,1.948046219662353e-06
2,1.0,125000,2.5597311332407954e-06
17,10.0,117500,2.083334105148323e-05
14,0.1,120000,2.386635267525831e-07
19,0.1,85000,7.754816304881261e-21
14,0.1,122500,2.123143498632102e-07
10,1.0,115000,1.467890378053246e-06
16,1.0,115000,1.608574638991046e-06
19,0.1,135000,1.5337423357095262e-07
29,1.0,105000,1.615604030296168e-06
16,1.0,107500,1.6583744999174328e-06
26,10.0,82500,2.052782839909811e-05
5,10.0,105000,2.1067415306074853e-05
13,0.1,105000,1.0330547243907717e-07
8,0.1,117500,1.806142526142506e-07
