pos,B,R
1,0.9092053661820502,0.1
1001,0.9088667056769362,0.1
2001,0.9085261802533239,0.1
3001,0.9081837764606897,0.1
4001,0.9078394807297474,0.1
5001,0.9074932793712215,0.1
6001,0.9071451585746086,0.1
7001,0.9067951044069186,0.1
8001,0.9064431028114056,0.1
9001,0.9060891396062837,0.1
10001,0.9057332007008004,0.1
11001,0.9054479213790052,0.1
12001,0.9053054258240231,0.1
13001,0.9053056398699422,0.1
14001,0.9054485636281608,0.1
15001,0.9057342712701187,0.1
16001,0.9060902044436987,0.1
17001,0.9064441617426571,0.1
18001,0.9067961574747401,0.1
19001,0.9071462058213574,0.1
20001,0.907494320838881,0.1
21001,0.9078405164599314,0.1
22001,0.9081848064946471,0.1
23001,0.908527204631941,0.1
24001,0.9088677244407418,0.1
1,0.9379057887613489,1.0
1001,0.9359333754396558,1.0
2001,0.9338665900182711,1.0
3001,0.9316993942599994,1.0
4001,0.9294252664129984,1.0
5001,0.9270371548114316,1.0
6001,0.9245274263077654,1.0
7001,0.9218878088858845,1.0
8001,0.9191093277138167,1.0
9001,0.9161822337910835,1.0
10001,0.9130959264178059,1.0
11001,0.9105694924960416,1.0
12001,0.9093125813104671,1.0
13001,0.9093144668425246,1.0
14001,0.9105751651530096,1.0
15001,0.9131054325063744,1.0
16001,0.9161912476524575,1.0
17001,0.9191178803285148,1.0
18001,0.9218959307357943,1.0
19001,0.9245351454374887,1.0
20001,0.9270444970543467,1.0
21001,0.9294322555937248,1.0
22001,0.9317060523759725,1.0
23001,0.9338729374028046,1.0
24001,0.9359394309085625,1.0
1,0.9916997876785874,10.0
1001,0.9906437345062605,10.0
2001,0.9893709364833632,10.0
3001,0.9878172237492456,10.0
4001,0.9858925536788269,10.0
5001,0.9834672596522452,10.0
6001,0.9803488399281471,10.0
7001,0.976240935299982,10.0
8001,0.970666689879456,10.0
9001,0.9628154156421763,10.0
10001,0.9512079188249897,10.0
11001,0.9407077281980432,10.0
12001,0.9360605493368099,10.0
13001,0.9360672653566375,10.0
14001,0.9407295040815838,10.0
15001,0.951250701249764,10.0
16001,0.9628435976390989,10.0
17001,0.9706862932794675,10.0
18001,0.9762551512231278,10.0
19001,0.9803594919572979,10.0
20001,0.9834754552771781,10.0
21001,0.9858989988213354,10.0
22001,0.9878223864704081,10.0
23001,0.9893751374911587,10.0
24001,0.990647199739731,10.0
